"Local.Date.and.Time","participant","trial","Emo","Response","onset_t","react_t","csum_t","t_s","t_m"
"17/10/2024 16:54:15","M90747",7,"frustrated",93,19230.6,20830.3,135501.499999714,346,5.76666666666667
"17/10/2024 16:54:20","M90747",7,"bored",100,1499.70000000001,5412.09999990463,140913.599999618,351,5.85
"17/10/2024 16:54:24","M90747",7,"happy",3,1649.79999999999,3255.99999980925,144169.599999428,355,5.91666666666667
"17/10/2024 16:55:07","M90747",8,"bored",94,10315.1,11928.8000001907,156098.399999618,398,6.63333333333333
"17/10/2024 16:55:11","M90747",8,"frustrated",93,3049.70000000001,4161.29999999999,160259.699999618,402,6.7
"17/10/2024 16:55:15","M90747",8,"happy",6,2816.20000000001,3952.49999980925,164212.199999428,406,6.76666666666667
"17/10/2024 16:56:01","M90747",9,"bored",91,13698.1,15407.5000001907,179619.699999618,452,7.53333333333333
"17/10/2024 16:56:06","M90747",9,"happy",7,1899.69999999995,5413.19999990461,185032.899999523,457,7.61666666666667
"17/10/2024 16:56:12","M90747",9,"frustrated",91,3349.5,5596.40000019071,190629.299999714,463,7.71666666666667
"17/10/2024 16:56:56","M90747",10,"frustrated",88,11448.6000000001,13188.6000001908,203817.899999904,507,8.45
"17/10/2024 16:57:00","M90747",10,"happy",6,1683.09999999998,4414.69999999995,208232.599999904,511,8.51666666666667
"17/10/2024 16:57:06","M90747",10,"bored",94,4232.70000000007,5299.20000000019,213531.799999905,517,8.61666666666667
"17/10/2024 16:57:50","M90747",11,"bored",86,11681.6,12909.1999999046,226440.999999809,561,9.35
"17/10/2024 16:57:54","M90747",11,"happy",9,2983,4482.99999999988,230923.999999809,565,9.41666666666667
"17/10/2024 16:57:57","M90747",11,"frustrated",92,2132.90000000002,3347.39999990468,234271.399999714,568,9.46666666666667
"17/10/2024 16:58:33","M90747",12,"frustrated",90,3016.09999999998,4180.29999980924,238451.699999523,604,10.0666666666667
"17/10/2024 16:58:41","M90747",12,"happy",6,6099.29999999993,8632.19999999995,247083.899999523,612,10.2
"17/10/2024 16:58:47","M90747",12,"bored",89,3682.69999999995,6040.30000019073,253124.199999714,618,10.3
"17/10/2024 16:48:07","M29480",0,"frustrated",14,1994.7,3067.19999990463,3067.19999990463,0,0
"17/10/2024 16:48:09","M29480",0,"happy",64,1462.7,2187.99999980926,5255.19999971389,2,0.0333333333333333
"17/10/2024 16:48:12","M29480",0,"bored",39,1612.5,2758.59999980927,8013.79999952316,5,0.0833333333333333
"17/10/2024 16:48:49","M29480",1,"happy",56,2376.9,6113.19999995232,14126.9999994755,42,0.7
"17/10/2024 16:48:52","M29480",1,"bored",47,1496,3456.39999990464,17583.3999993801,45,0.75
